path,loc,top_level_classes,top_level_funcs,imports_from_lattice,imported_by_count,phase_target,final_path,disposition
src/lattice/gateway/__init__.py,6,0,0,lattice.gateway.compat|lattice.gateway.server,0,-,gateway/__init__.py,KEEP
src/lattice/gateway/compat.py,3158,5,25,lattice.core.agent_stats|lattice.core.config|lattice.core.context|lattice.core.cost_estimator|lattice.core.credentials|lattice.core.delta_wire|lattice.core.pipeline_factory|lattice.core.result|lattice.core.runtime_state|lattice.core.semantic_cache|lattice.core.serialization|lattice.core.telemetry|lattice.core.transport|lattice.gateway.compat|lattice.gateway.routing|lattice.gateway.server|lattice.integrations.codex.auth|lattice.integrations.codex.ws_handler|lattice.planner.execution_builder|lattice.planner.execution_plan|lattice.planner.fallback_executor|lattice.protocol.manifest|lattice.providers.capabilities|lattice.providers.transport,11,-,gateway/compat.py,KEEP
src/lattice/gateway/detect_helpers.py,174,0,6,lattice.gateway.routing,7,-,gateway/detect_helpers.py,KEEP
src/lattice/gateway/routing.py,231,7,0,,4,-,gateway/routing.py,KEEP
src/lattice/gateway/server.py,587,2,0,lattice.core.context|lattice.core.pipeline|lattice.core.result|lattice.core.runtime_state|lattice.core.serialization|lattice.core.session|lattice.core.transport|lattice.planner.execution_builder|lattice.planner.execution_plan|lattice.planner.fallback_executor|lattice.protocol.cache_planner|lattice.protocol.dictionary_codec|lattice.protocol.framing|lattice.protocol.manifest|lattice.protocol.resume|lattice.providers.transport,5,-,gateway/server.py,KEEP
src/lattice/integrations/__init__.py,52,0,0,lattice.integrations.agents|lattice.integrations.init|lattice.integrations.lace|lattice.integrations.mcp|lattice.integrations.registry,0,-,integrations/__init__.py,KEEP
src/lattice/integrations/agents.py,1443,10,10,lattice.core.config,4,-,integrations/agents.py,KEEP
src/lattice/integrations/claude/install.py,57,0,4,,2,-,integrations/claude/install.py,KEEP
src/lattice/integrations/claude/runtime.py,17,0,2,,2,-,integrations/claude/runtime.py,KEEP
src/lattice/integrations/codex/auth.py,108,0,4,,3,-,integrations/codex/auth.py,KEEP
src/lattice/integrations/codex/install.py,69,0,4,,2,-,integrations/codex/install.py,KEEP
src/lattice/integrations/codex/runtime.py,21,0,2,,2,-,integrations/codex/runtime.py,KEEP
src/lattice/integrations/codex/ws_handler.py,473,0,0,lattice.integrations.codex.auth,1,-,integrations/codex/ws_handler.py,KEEP
src/lattice/integrations/copilot/install.py,54,0,4,lattice.integrations.copilot.runtime,2,-,integrations/copilot/install.py,KEEP
src/lattice/integrations/copilot/runtime.py,15,0,1,,2,-,integrations/copilot/runtime.py,KEEP
src/lattice/integrations/cursor/install.py,29,0,3,lattice.integrations.cursor.runtime,2,-,integrations/cursor/install.py,KEEP
src/lattice/integrations/cursor/runtime.py,53,1,3,lattice.integrations.claude.runtime|lattice.integrations.codex.runtime,3,-,integrations/cursor/runtime.py,KEEP
src/lattice/integrations/init.py,195,0,10,lattice.integrations.cursor.runtime|lattice.integrations.mutation_store|lattice.integrations.registry,2,-,integrations/init.py,KEEP
src/lattice/integrations/lace.py,266,0,5,lattice.core.config|lattice.integrations.tunnel|lattice.integrations.mutation_store|lattice.integrations.registry|lattice.proxy.lifecycle,2,8,integrations/lace.py,KEEP
src/lattice/integrations/mcp.py,294,1,1,lattice._version|lattice.core.config|lattice.core.context|lattice.core.pipeline|lattice.core.pipeline_factory|lattice.core.result|lattice.core.runtime_state|lattice.core.serialization|lattice.core.session|lattice.core.transport|lattice.integrations.mcp|lattice.providers.transport|lattice.utils.token_count,7,-,integrations/mcp.py,KEEP
src/lattice/integrations/mutation_store.py,78,0,7,,4,-,integrations/mutation_store.py,KEEP
src/lattice/integrations/opencode/install.py,116,0,6,lattice.providers.capabilities,2,-,integrations/opencode/install.py,KEEP
src/lattice/integrations/opencode/runtime.py,33,0,2,,1,-,integrations/opencode/runtime.py,KEEP
src/lattice/integrations/registry.py,272,0,10,lattice.integrations.claude.install|lattice.integrations.claude.runtime|lattice.integrations.codex.install|lattice.integrations.codex.runtime|lattice.integrations.copilot.install|lattice.integrations.copilot.runtime|lattice.integrations.cursor.install|lattice.integrations.cursor.runtime|lattice.integrations.opencode.install|lattice.integrations.opencode.runtime,5,-,integrations/registry.py,KEEP
src/lattice/optimizer/__init__.py,44,0,0,lattice.optimizer.context_optimizer|lattice.optimizer.diagnostic_optimizer|lattice.optimizer.ir_structure_optimizer|lattice.optimizer.reference_optimizer|lattice.optimizer.structure_optimizer|lattice.optimizer.tool_optimizer,0,-,optimizer/__init__.py,KEEP
src/lattice/optimizer/context_optimizer.py,265,2,2,lattice.core.context|lattice.core.errors|lattice.core.pipeline|lattice.core.result|lattice.core.runtime_state|lattice.core.transport|lattice.transforms.context_selector|lattice.transforms.extractive_compress|lattice.transforms.rate_distortion,1,3,transforms/optimizers/context_optimizer.py,MOVE
src/lattice/optimizer/diagnostic_optimizer.py,198,2,2,lattice.core.context|lattice.core.errors|lattice.core.pipeline|lattice.core.result|lattice.core.runtime_state|lattice.core.transport|lattice.transforms.diagnostic_rle,1,3,transforms/optimizers/diagnostic_optimizer.py,MOVE
src/lattice/optimizer/ir_native_optimizer.py,240,2,0,lattice.core.compiler|lattice.core.context|lattice.core.errors|lattice.core.ir|lattice.core.ir_serializer|lattice.core.pipeline|lattice.core.primitives|lattice.core.result|lattice.core.runtime_state|lattice.core.transport,1,1,ir/native_optimizer.py,MOVE
src/lattice/optimizer/ir_structure_optimizer.py,178,1,3,lattice.core.context|lattice.core.errors|lattice.core.ir|lattice.core.result|lattice.core.transport|lattice.optimizer.ir_native_optimizer,3,3,transforms/optimizers/ir_structure_optimizer.py,MOVE
src/lattice/optimizer/quality_estimator.py,638,1,17,lattice.core.context|lattice.core.runtime_state|lattice.core.transport,1,1,ir/quality.py,MOVE
src/lattice/optimizer/reference_optimizer.py,255,2,4,lattice.core.context|lattice.core.errors|lattice.core.pipeline|lattice.core.result|lattice.core.runtime_state|lattice.core.transport|lattice.transforms.path_prefix|lattice.transforms.reference_sub,2,3,transforms/optimizers/reference_optimizer.py,MOVE
src/lattice/optimizer/representation_optimizer.py,431,1,8,lattice.core.compiler|lattice.core.context|lattice.core.errors|lattice.core.ir_transform|lattice.core.pipeline|lattice.core.primitives|lattice.core.result|lattice.core.runtime_state|lattice.core.transport|lattice.optimizer,3,2,pipeline/representation_optimizer.py,MOVE
src/lattice/optimizer/structure_optimizer.py,255,2,2,lattice.core.context|lattice.core.errors|lattice.core.pipeline|lattice.core.result|lattice.core.runtime_state|lattice.core.transport|lattice.transforms.columnar_pack|lattice.transforms.format_conv|lattice.transforms.json_shape,3,3,(deleted — text-based),DELETE
src/lattice/optimizer/tool_optimizer.py,213,2,2,lattice.core.context|lattice.core.errors|lattice.core.pipeline|lattice.core.result|lattice.core.runtime_state|lattice.core.transport|lattice.transforms.tool_filter|lattice.transforms.tool_projection,1,3,transforms/optimizers/tool_optimizer.py,MOVE
src/lattice/optimizer/validation.py,283,1,9,lattice.core.context|lattice.core.primitives|lattice.core.runtime_state|lattice.core.transport,2,1,ir/validation.py,MOVE
src/lattice/planner/__init__.py,23,0,0,lattice.planner.execution_plan|lattice.planner.provider_strategy|lattice.planner.request_classifier|lattice.planner.transport_planner,0,-,planner/__init__.py,KEEP
src/lattice/planner/execution_builder.py,203,0,1,lattice.core.config|lattice.core.task_classifier|lattice.core.transport|lattice.core.unified_planner|lattice.planner.execution_builder|lattice.planner.execution_plan|lattice.planner.provider_strategy|lattice.planner.request_classifier|lattice.planner.transport_planner,5,-,planner/execution_builder.py,KEEP
src/lattice/planner/execution_plan.py,277,8,1,lattice.core.transport,14,-,planner/execution_plan.py,KEEP
src/lattice/planner/fallback_executor.py,315,0,1,lattice.planner.execution_plan|lattice.planner.fallback_executor,6,-,planner/fallback_executor.py,KEEP
src/lattice/planner/provider_strategy.py,287,2,5,,6,-,planner/provider_strategy.py,KEEP
src/lattice/planner/request_classifier.py,89,1,2,lattice.core.task_classifier|lattice.core.transport|lattice.planner.execution_plan|lattice.utils.validation,3,-,planner/request_classifier.py,KEEP
